40 25
#############
#...........#    ########      ########
#...s...s...######......#      #......#
#.....a.................########......#
#...........######...a.............a..#
#.....s.....#    #........s...........#
#...........#    #......######....#####
#...........#    #......#    #....#
#####..######    ###..###    #....#
    #..#           #..########....#
    #..#           #..#...........#
    #..#         ###..###....######
  ###..####      #g...g.#.........#
  #..@....#      #......######..s.#
  #.......#      #..k...#    #....#
  #.......#      #......#    #....#
  #.......#      #...O..#    #....#
  #.......#      #......#####.....#
  #.......#      #......# #.....###
  #.......#      #......# #.....#
  #########      ######## #....##
           ################....#
           #.....O.............#
           #...........m.......#
           #####################
