53 26
#############                                        
#...........#    ########      ########              
#...s...s...######......#      #......###############
#.....a.................########......#.............#
#...........######...a.............a..#.............#
#.....s.....#    #........s...........#.......#.....#
#........M..#    #......######....#####.......#.....#
#...........#    #......#    #....#...........#.....#
#####..######    ###..###    #....#...........#.....#
    #..#           #..########....#...........#.....#
    #..#           #.W#WWWWW......#.....#######.....#
    #..#         ###..###..W.######.....#.....Y.....#
  ###..####      #g...g.#..W......#.....#.....#.....#
  #..@..T.#      #......######..s.#.....#.....#.....#
  #mmmmmmm#      #..k...#    #....#.....#.....#.....#
  #.b..c..#      #......#    #....#############.....#
  #....B..#      #...O..#    #......................#
  #.......#      #......#####W.WWWW.................#
  #.......#      #......# #.....################....#
  #.......#      #......# #.....#WW............#....#
  #########      ######## #....##WWWWWWWWWWW...#....#
           ################....#.......#...W...#....#
           #.....O.............#.......#...W...#....#
           #...........m.......#.......#............#
           #############################.BWW........#
                                       ##############
