25 20
#############
#...........#    ########
#...s...s...######......#
#.....a.................#
#...........######...a..#
#.....s.....#    #......#
#...........#    #......#
#...........#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#         ###..###
  ###..####      #g.....#
  #..@....#      #......#
  #.......#      #..k...#
  #.......#      #......#
  #..s....#      #......#
  #.......#      #...m..#
  #.......#      #......#
  #########      ########
